Date,US10Y_Rate,S&P500_Close,VIX_Close,MA200,Rate_MA20,Regime
2020-01-02,1.8819999694824219,3257.85009765625,12.470000267028809,,,UNKNOWN (데이터 부족)
2020-01-03,1.7879999876022339,3234.85009765625,14.020000457763672,,,UNKNOWN (데이터 부족)
2020-01-06,1.8109999895095825,3246.280029296875,13.850000381469727,,,UNKNOWN (데이터 부족)
2020-01-07,1.8270000219345093,3237.179931640625,13.789999961853027,,,UNKNOWN (데이터 부족)
2020-01-08,1.8739999532699585,3253.050048828125,13.449999809265137,,,UNKNOWN (데이터 부족)
2020-01-09,1.8580000400543213,3274.699951171875,12.539999961853027,,,UNKNOWN (데이터 부족)
2020-01-10,1.8250000476837158,3265.35009765625,12.5600004196167,,,UNKNOWN (데이터 부족)
2020-01-13,1.8480000495910645,3288.1298828125,12.319999694824219,,,UNKNOWN (데이터 부족)
2020-01-14,1.8179999589920044,3283.14990234375,12.390000343322754,,,UNKNOWN (데이터 부족)
2020-01-15,1.7879999876022339,3289.2900390625,12.420000076293945,,,UNKNOWN (데이터 부족)
2020-01-16,1.809000015258789,3316.81005859375,12.319999694824219,,,UNKNOWN (데이터 부족)
2020-01-17,1.8359999656677246,3329.6201171875,12.100000381469727,,,UNKNOWN (데이터 부족)
2020-01-21,1.7690000534057617,3320.7900390625,12.850000381469727,,,UNKNOWN (데이터 부족)
2020-01-22,1.7690000534057617,3321.75,12.90999984741211,,,UNKNOWN (데이터 부족)
2020-01-23,1.7400000095367432,3325.5400390625,12.979999542236328,,,UNKNOWN (데이터 부족)
2020-01-24,1.680999994277954,3295.469970703125,14.5600004196167,,,UNKNOWN (데이터 부족)
2020-01-27,1.6050000190734863,3243.6298828125,18.229999542236328,,,UNKNOWN (데이터 부족)
2020-01-28,1.6410000324249268,3276.239990234375,16.280000686645508,,,UNKNOWN (데이터 부족)
2020-01-29,1.593999981880188,3273.39990234375,16.389999389648438,,,UNKNOWN (데이터 부족)
2020-01-30,1.5579999685287476,3283.659912109375,15.489999771118164,,1.7660500049591064,UNKNOWN (데이터 부족)
2020-01-31,1.5199999809265137,3225.52001953125,18.84000015258789,,1.747950005531311,UNKNOWN (데이터 부족)
2020-02-03,1.5199999809265137,3248.919921875,17.969999313354492,,1.7345500051975251,UNKNOWN (데이터 부족)
2020-02-04,1.6030000448226929,3297.590087890625,16.049999237060547,,1.7241500079631806,UNKNOWN (데이터 부족)
2020-02-05,1.6490000486373901,3334.68994140625,15.149999618530273,,1.7152500092983245,UNKNOWN (데이터 부족)
2020-02-06,1.6440000534057617,3345.780029296875,14.960000038146973,,1.7037500143051147,UNKNOWN (데이터 부족)
2020-02-07,1.5779999494552612,3327.7099609375,15.470000267028809,,1.6897500097751617,UNKNOWN (데이터 부족)
2020-02-10,1.5470000505447388,3352.090087890625,15.039999961853027,,1.675850009918213,UNKNOWN (데이터 부족)
2020-02-11,1.590000033378601,3357.75,15.180000305175781,,1.6629500091075897,UNKNOWN (데이터 부족)
2020-02-12,1.6299999952316284,3379.449951171875,13.739999771118164,,1.6535500109195709,UNKNOWN (데이터 부족)
2020-02-13,1.6169999837875366,3373.93994140625,14.149999618530273,,1.645000010728836,UNKNOWN (데이터 부족)
2020-02-14,1.5880000591278076,3380.159912109375,13.680000305175781,,1.633950012922287,UNKNOWN (데이터 부족)
2020-02-18,1.555999994277954,3370.2900390625,14.829999923706055,,1.6199500143527985,UNKNOWN (데이터 부족)
2020-02-19,1.5700000524520874,3386.14990234375,14.380000114440918,,1.6100000143051147,UNKNOWN (데이터 부족)
2020-02-20,1.524999976158142,3373.22998046875,15.5600004196167,,1.5978000104427337,UNKNOWN (데이터 부족)
2020-02-21,1.4709999561309814,3337.75,17.079999923706055,,1.5843500077724457,UNKNOWN (데이터 부족)
2020-02-24,1.3769999742507935,3225.889892578125,25.030000686645508,,1.5691500067710877,UNKNOWN (데이터 부족)
2020-02-25,1.3300000429153442,3128.2099609375,27.850000381469727,,1.5554000079631805,UNKNOWN (데이터 부족)
2020-02-26,1.309999942779541,3116.389892578125,27.559999465942383,,1.5388500034809112,UNKNOWN (데이터 부족)
2020-02-27,1.2990000247955322,2978.760009765625,39.15999984741211,,1.5241000056266785,UNKNOWN (데이터 부족)
2020-02-28,1.1269999742507935,2954.219970703125,40.11000061035156,,1.5025500059127808,UNKNOWN (데이터 부족)
2020-03-02,1.0880000591278076,3090.22998046875,33.41999816894531,,1.4809500098228454,UNKNOWN (데이터 부족)
2020-03-03,1.0099999904632568,3003.3701171875,36.81999969482422,,1.4554500102996826,UNKNOWN (데이터 부족)
2020-03-04,0.9919999837875366,3130.1201171875,31.989999771118164,,1.4249000072479248,UNKNOWN (데이터 부족)
2020-03-05,0.9259999990463257,3023.93994140625,39.619998931884766,,1.3887500047683716,UNKNOWN (데이터 부족)
2020-03-06,0.7059999704360962,2972.3701171875,41.939998626708984,,1.3418500006198884,UNKNOWN (데이터 부족)
2020-03-09,0.49900001287460327,2746.56005859375,54.459999084472656,,1.2879000037908555,UNKNOWN (데이터 부족)
2020-03-10,0.7480000257492065,2882.22998046875,47.29999923706055,,1.2479500025510788,UNKNOWN (데이터 부족)
2020-03-11,0.8199999928474426,2741.3798828125,53.900001525878906,,1.2094500005245208,UNKNOWN (데이터 부족)
2020-03-12,0.8489999771118164,2480.639892578125,75.47000122070312,,1.1703999996185304,UNKNOWN (데이터 부족)
2020-03-13,0.9509999752044678,2711.02001953125,57.83000183105469,,1.1370999991893769,UNKNOWN (데이터 부족)
2020-03-16,0.7279999852180481,2386.1298828125,82.69000244140625,,1.0940999954938888,UNKNOWN (데이터 부족)
2020-03-17,0.996999979019165,2529.18994140625,75.91000366210938,,1.0661499947309494,UNKNOWN (데이터 부족)
2020-03-18,1.2660000324249268,2398.10009765625,76.44999694824219,,1.0509499937295914,UNKNOWN (데이터 부족)
