,Return_20d(%),Industry,Industry_Mean(%),Pure_Alpha(%),Weight(%),Invest_Amount(KRW)
INTC,89.21798349044971,Information Technology,16.887206417366862,72.33077707308286,23.990229577509588,2399022.957750959
DDOG,82.49976833053985,Information Technology,16.887206417366862,65.61256191317298,21.761973079248882,2176197.3079248886
AMD,75.92620553822181,Information Technology,16.887206417366862,59.038999120854946,19.58169399320307,1958169.3993203072
CNC,51.6908293178848,Health Care,-2.594343498529162,54.28517281641396,18.00497397124185,1800497.397124185
AKAM,67.12067462949688,Information Technology,16.887206417366862,50.23346821213001,16.66112937879661,1666112.937879661
